idUnified,Li,Na,K,Mg,Ca,Cl,SO4,HCO3,Temperature
308,,437,54.4,0.020001,4.71,665,126,46.000001,290
309,,425,50.1,0.080001,4.96,464,101,94.000001,290
310,,200,43.4,0.040001,0.51,240,21,140.000001,300
311,,251,38.3,3.940001,12.7,151,130,60.000001,305
312,,247,58.8,0.130001,1.21,367,76,36.000001,315
313,,67,23.5,0.790001,19.1,15.6,135,56.000001,295
314,,214,42.9,0.030001,0.36,278,2.5,1.00E-06,290
315,,671,126,0.470001,1.78,779,232,41.000001,310
316,,620,124,1.600001,9.3,885,46,118.000001,310
317,,1048,21.3,0.350001,2.24,307,54,1436.000001,335
318,,240,46.8,0.110001,0.57,326,7.8,128.000001,295
319,,16250,140,70.000001,380,24000,43,361.000001,94
320,,13000,90,25.000001,130,18100,57,556.000001,105
321,,14000,90,35.000001,160,19600,59,632.000001,102
322,,12500,100,30.000001,170,19600,59,484.000001,106
323,,23250,220,95.000001,610,35200,11,302.000001,122
324,,13250,72,48.000001,330,21000,42,200.000001,128
325,,18250,190,170.000001,1230,29300,7.7,506.000001,154
326,,24000,300,235.000001,2000,40500,0.6,317.000001,127
327,,159,3.66,0.079001,31.1,235.2,59.1,,75
328,,10276,1585,1.327001,1571,21045,,,244
329,,98.5,22.5,0.002001,0.08,84,1.8,,300
330,,893,79,0.110001,3,1260,18,185.000001,230
331,,995,142,0.040001,17,1675,30,,240
332,,675,130,0.011001,1,964,41,376.000001,260
333,,1750,216,0.110001,59,2910,40,27.000001,250
334,,933,231,0.012001,15,1810,31,51.000001,295
335,,5600,1260,0.270001,333,10500,14,40.000001,280
336,,3580,1090,0.200001,128,6780,16,12.000001,330
337,,38400,13400,10.000001,22010,118400,4,140.000001,330
338,,42000,6000,700.000001,8532,52000,447,38.000001,359
339,,6300,577,190.000001,760,11159,528,256.000001,150
340,,1264,145,0.100001,3.1,98,705,2126.000001,201
341,,16640,1280,71.000001,2920,33600,150,84.000001,171
342,,1625,81,2.200001,3.6,1714,45,1263.000001,203
343,,1801,210,0.500001,,1848,51,1598.000001,218
344,,1770,172,,1.6,1819,72,1342.000001,232
345,,2766,232,0.150001,232,5083,88,,239
346,,2900,622,0.180001,37,5352,24,,289
347,,4942,975,0.150001,201,8539,11.4,,296
348,,1650,246,0.430001,28,2867,89.7,,298
349,,2695,711,0.040001,5,4914,8.9,,305
350,,3201,731,0.150001,6,5659,4.5,,295
351,,3104,496,0.270001,253,5679,87.7,,250
352,,1948,558,,7.4,3590,29,,314
353,,1675,399,,8.8,2920,16.6,,294
354,,1656,430,,9.1,3070,19.3,,300
355,,1741,429,,3.6,3150,21.5,,303
356,,1680,451,,10,3030,21.8,,305
357,,1586,365,,8.5,2850,42.6,,286
358,,1765,406,,13.4,3000,26.1,,280
359,,1507,355,,12,2770,26.2,,285
360,,1661,366,,9.3,2940,28.5,,274
361,,1572,394,,12.8,2840,28,,290
362,,1724,479,,5.8,3150,27.5,,312
363,,1633,387,,7.4,2880,29.1,,294
364,,1445,343,,8.1,2610,26.5,,288
365,,1580,357,,5.3,2800,28.5,,289
366,,1537,412,,8.1,2710,25.3,,302
367,,2150,390,0.600001,9.2,3650,78,,268
368,,2200,410,0.080001,6.9,3650,60,,268
369,,1900,216,4.000001,107,2880,85,615.000001,204
370,,1780,440,1.000001,69.1,2860,120,485.000001,225
371,,6670,1110,0.910001,1033,13380,27,,240
372,,8330,1160,1.240001,1150,14650,27.3,,240
373,,168,13.8,0.002001,2.18,142.3,40,,182
374,,164.2,20.72,0.021001,2.15,171.2,37.2,,215
375,,176.8,21.28,0.008001,1.68,186.3,35.2,,225
376,,141.3,28.2,0.005001,0.29,12.8,9.7,,290
377,,89.2,16.98,0.021001,0.39,28.9,22,,320
378,,165.8,33.04,0.017001,1.68,20.9,106.5,,300
379,,193,25.46,0.002001,1.6,43.8,202.4,,215
380,,223.6,46.2,0.002001,1.72,24,182.6,,325
381,,146.2,32.4,0.002001,0.32,68.2,13.5,,295
382,,142.6,30.7,0.006001,0.51,48.2,39.4,,300
383,,560,15.8,0.070001,116,709,482,38.800001,110
384,,2410,186,48.000001,137,4237,51.8,122.200001,220
385,,1620,240,0.400001,82,2827,59,63.200001,230
386,,3750,835,0.430001,67,6777,13,22.000001,297
387,,4670,420,0.150001,900,9160,,74.000001,159
388,,1146,244,,3.5,1897,42,,265
389,,872,86,,48.9,945,56.5,,111
390,,60500,18800,,31100,164900,6,,351
391,,1625,203,,56,2670,60,,235
392,,1607,200,,56,2670,60,,235
393,,616,173,,,,,,184
394,,35,16.6,,,,,,184
395,,241,140,,,,,,154
396,,3609,711,,,,,,220
397,,11793,1653,,,22130,,,247
398,,1666,215,0.400001,98,2847,61,62.600001,225
399,,2520,370,1.900001,160,4849,56.8,30.800001,245
400,,170,16,35.500001,160,,,,100
401,,136,10.8,1.400001,24.6,,,,105
402,,160,8.2,1.400001,15.3,,,,139
403,,9854,1391,1.150001,1531,,,,270
404,,6322,1012,1.270001,906,,,,236
405,,900,78,1.400001,29,,,,230
406,,1173,117,1.190001,6,,,,207
407,,79000,7080,3920.000001,34000,,,,132
408,,52400,551,1360.000001,16800,,,,102
409,,53800,4430,3610.000001,39200,,,,141
410,,52100,519,1660.000001,22200,,,,109
411,,54200,863,2550.000001,41200,,,,129
412,,58300,2030,3740.000001,55600,,,,137
413,,49900,461,2290.000001,29500,,,,116
414,,50100,474,2510.000001,30700,,,,116
415,,48800,625,2550.000001,37200,,,,120
416,,59700,1340,3230.000001,45000,,,,131
417,,40100,333,582.000001,4140,,,,86
418,,53700,750,1640.000001,16800,,,,109
419,,53900,888,2150.000001,28900,,,,125
420,,53600,649,2200.000001,19300,,,,127
421,,46500,6800,2970.000001,30600,,,,154
422,,52400,5980,3010.000001,37400,,,,154
423,,29200,3830,2480.000001,25700,,,,154
424,,52000,6080,3410.000001,37700,,,,154
425,,54000,979,1630.000001,26500,,,,127
426,,61100,854,1830.000001,28800,,,,129
427,,29000,3030,1470.000001,25000,,,,158
428,,53200,635,1880.000001,27300,,,,114
429,,3090,59.4,3.310001,53.8,,,,134
430,,6240,79.4,8.000001,1780,,,,101
431,,3080,75.1,2.050001,8.6,,,,134
432,,13200,88.4,206.000001,797,,,,82
433,,13800,149,88.000001,1700,,,,97
